% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.283	6	8	29	4	2	4	217	0	0
0.283	9	17	29	4	1	14	775	0	0
0.283	10	1	29	4	1	18	967	0	0
0.283	11	2	29	4	1	26	1836	0	0
0.283	12	3	29	4	1	28	2196	0	0
0.283	13	4	29	4	1	18	967	0	0
0.284	1	11	29	5	3	12	597	0	0
0.284	2	21	29	5	1	10	469	0	0
0.284	4	19	29	5	3	6	309	0	0
0.284	5	23	29	5	1	8	421	0	0
0.284	6	14	29	5	3	8	421	0	0
0.284	9	17	29	5	1	14	775	0	0
0.284	10	1	29	5	1	18	967	0	0
0.284	11	2	29	5	1	26	1836	0	0
0.284	12	3	29	5	1	28	2196	0	0
0.284	13	4	29	5	1	18	967	0	0
0.285	1	5	29	6	4	10	469	0	0
0.285	2	21	29	6	1	10	469	0	0
0.285	4	12	29	6	1	8	421	0	0
0.285	5	23	29	6	1	8	421	0	0
0.285	6	7	29	6	4	10	469	0	0
0.285	9	17	29	6	1	14	775	0	0
0.285	10	1	29	6	1	18	967	0	0
0.285	11	2	29	6	1	26	1836	0	0
0.285	12	3	29	6	1	28	2196	0	0
0.285	13	4	29	6	1	18	967	0	0
0.286	1	13	29	7	5	6	309	0	0
0.286	2	16	29	7	2	4	217	0	0
0.286	4	6	29	7	2	14	775	0	0
0.286	5	23	29	7	1	8	421	0	0
0.286	6	15	29	7	1	2	133	0	0
0.286	9	17	29	7	1	14	775	0	0
0.286	10	1	29	7	1	18	967	0	0
0.286	11	2	29	7	1	26	1836	0	0
0.286	12	3	29	7	1	28	2196	0	0
0.286	13	4	29	7	1	18	967	0	0
0.287	1	10	29	8	2	8	421	0	0
0.287	2	21	29	8	1	10	469	0	0
0.287	4	22	29	8	4	12	597	0	0
0.287	5	23	29	8	1	8	421	0	0
0.287	6	8	29	8	2	4	217	0	0
0.287	9	17	29	8	1	14	775	0	0
0.287	10	1	29	8	1	18	967	0	0
0.287	11	2	29	8	1	26	1836	0	0
0.287	12	3	29	8	1	28	2196	0	0
0.287	13	4	29	8	1	18	967	0	0
0.288	1	20	29	9	1	4	217	0	0
0.288	2	16	29	9	2	4	217	0	0
0.288	4	9	29	9	6	2	133	0	0
0.288	5	23	29	9	1	8	421	0	0
0.288	6	14	29	9	3	8	421	0	0
0.288	9	17	29	9	1	14	775	0	0
0.288	10	1	29	9	1	18	967	0	0
0.288	11	2	29	9	1	26	1836	0	0
0.288	12	3	29	9	1	28	2196	0	0
0.288	13	4	29	9	1	18	967	0	0
0.289	1	11	29	10	3	12	597	0	0
0.289	2	21	29	10	1	10	469	0	0
0.289	4	12	29	10	1	8	421	0	0
0.289	5	23	29	10	1	8	421	0	0
0.289	6	7	29	10	4	10	469	0	0
0.289	9	17	29	10	1	14	775	0	0
0.289	10	1	29	10	1	18	967	0	0
0.289	11	2	29	10	1	26	1836	0	0
0.289	12	3	29	10	1	28	2196	0	0
0.289	13	4	29	10	1	18	967	0	0
0.29	1	5	30	1	4	10	469	0	0
0.29	2	16	30	1	2	12	597	0	0
0.29	4	19	30	1	3	6	309	0	0
0.29	5	23	30	1	1	8	421	0	0
0.29	6	15	30	1	1	2	133	0	0
0.29	9	17	30	1	1	14	775	0	0
0.29	10	1	30	1	1	18	967	0	0
0.29	11	2	30	1	1	26	1836	0	0
0.29	12	3	30	1	1	28	2196	0	0
0.29	13	4	30	1	1	18	967	0	0
0.291	1	10	30	2	2	8	421	0	0
0.291	2	16	30	2	2	4	217	0	0
0.291	4	6	30	2	2	14	775	0	0
0.291	5	23	30	2	1	8	421	0	0
0.291	6	7	30	2	4	10	469	0	0
0.291	9	17	30	2	1	14	775	0	0
0.291	10	1	30	2	1	18	967	0	0
0.291	11	2	30	2	1	26	1836	0	0
0.291	12	3	30	2	1	28	2196	0	0
0.291	13	4	30	2	1	18	967	0	0
0.292	1	13	30	3	5	6	309	0	0
0.292	2	21	30	3	1	10	469	0	0
0.292	4	22	30	3	4	12	597	0	0
0.292	5	23	30	3	1	8	421	0	0
0.292	6	14	30	3	3	8	421	0	0
0.292	9	17	30	3	1	14	775	0	0
0.292	10	1	30	3	1	18	967	0	0
0.292	11	2	30	3	1	26	1836	0	0
0.292	12	3	30	3	1	28	2196	0	0
0.292	13	4	30	3	1	18	967	0	0
0.293	1	11	30	4	3	12	597	0	0
0.293	2	16	30	4	2	4	217	0	0
0.293	4	9	30	4	6	2	133	0	0
0.293	5	23	30	4	1	8	421	0	0
0.293	6	8	30	4	2	4	217	0	0
0.293	9	17	30	4	1	14	775	0	0
0.293	10	1	30	4	1	18	967	0	0
0.293	11	2	30	4	1	26	1836	0	0
0.293	12	3	30	4	1	28	2196	0	0
0.293	13	4	30	4	1	18	967	0	0
0.294	1	5	30	5	4	10	469	0	0
0.294	2	21	30	5	1	10	469	0	0
0.294	4	12	30	5	1	8	421	0	0
0.294	5	23	30	5	1	8	421	0	0
0.294	6	7	30	5	4	10	469	0	0
