% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.279	4	19	28	10	3	0	15
0.279	4	9	28	10	6	0	15
0.279	5	23	28	10	1	6	325
0.279	6	15	28	10	1	6	75
0.279	6	8	28	10	2	6	75
0.279	6	14	28	10	3	0	19
0.279	6	7	28	10	4	0	19
0.279	9	17	28	10	1	6	325
0.279	10	1	28	10	1	16	967
0.279	11	2	28	10	1	18	999
0.279	12	3	28	10	1	14	807
0.279	13	4	28	10	1	18	999
0.28	1	11	29	1	3	8	85
0.28	1	20	29	1	1	12	125
0.28	1	10	29	1	2	12	125
0.28	2	21	29	1	1	4	105
0.28	2	16	29	1	2	2	65
0.28	4	12	29	1	1	4	41
0.28	4	6	29	1	2	2	26
0.28	4	19	29	1	3	0	15
0.28	4	9	29	1	6	0	15
0.28	5	23	29	1	1	6	325
0.28	6	7	29	1	4	8	101
0.28	6	15	29	1	1	6	75
0.28	6	8	29	1	2	6	75
0.28	6	14	29	1	3	0	19
0.28	9	17	29	1	1	6	325
0.28	10	1	29	1	1	16	967
0.28	11	2	29	1	1	18	999
0.28	12	3	29	1	1	14	807
0.28	13	4	29	1	1	18	999
0.281	1	11	29	2	3	8	85
0.281	1	20	29	2	1	12	125
0.281	1	10	29	2	2	12	125
0.281	2	21	29	2	1	4	105
0.281	2	16	29	2	2	2	65
0.281	4	12	29	2	1	4	41
0.281	4	6	29	2	2	2	26
0.281	4	19	29	2	3	0	15
0.281	4	9	29	2	6	0	15
0.281	5	23	29	2	1	6	325
0.281	6	15	29	2	1	6	75
0.281	6	8	29	2	2	6	75
0.281	6	14	29	2	3	0	19
0.281	6	7	29	2	4	0	19
0.281	9	17	29	2	1	6	325
0.281	10	1	29	2	1	16	967
0.281	11	2	29	2	1	18	999
0.281	12	3	29	2	1	14	807
0.282	1	11	29	3	3	8	85
0.282	1	20	29	3	1	12	125
0.282	1	10	29	3	2	12	125
0.282	2	21	29	3	1	4	105
0.282	2	16	29	3	2	2	65
0.282	4	12	29	3	1	4	41
0.282	4	6	29	3	2	2	26
0.282	4	19	29	3	3	0	15
0.282	4	9	29	3	6	0	15
0.282	5	23	29	3	1	6	325
0.282	6	15	29	3	1	6	75
0.282	6	8	29	3	2	6	75
0.282	6	14	29	3	3	0	19
0.282	6	7	29	3	4	0	19
0.282	9	17	29	3	1	6	325
0.282	10	1	29	3	1	18	999
0.282	11	2	29	3	1	28	2292
0.282	12	3	29	3	1	14	807
0.282	13	4	29	3	1	18	999
0.283	1	11	29	4	3	8	85
0.283	1	20	29	4	1	12	125
0.283	1	10	29	4	2	12	125
0.283	2	21	29	4	1	4	105
0.283	2	16	29	4	2	2	65
0.283	4	12	29	4	1	4	41
0.283	4	6	29	4	2	2	26
0.283	4	19	29	4	3	0	15
0.283	4	9	29	4	6	0	15
0.283	5	23	29	4	1	6	325
0.283	6	15	29	4	1	6	75
0.283	6	8	29	4	2	6	75
0.283	6	14	29	4	3	0	19
0.283	6	7	29	4	4	0	19
0.283	9	17	29	4	1	6	325
0.283	10	1	29	4	1	16	967
0.283	11	2	29	4	1	28	2292
0.283	12	3	29	4	1	14	807
0.283	13	4	29	4	1	18	999
