% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.056	8	20	6	7	1	0	81	0	0
0.056	9	6	6	7	1	2	133	0	0
0.056	10	1	6	7	1	8	421	0	0
0.056	11	2	6	7	1	16	903	0	0
0.056	12	3	6	7	1	8	421	0	0
0.056	13	4	6	7	1	2	133	0	0
0.057	1	18	6	8	2	12	597	0	0
0.057	2	14	6	8	2	4	217	0	0
0.057	3	17	6	8	1	18	967	0	0
0.057	4	5	6	8	2	16	903	0	0
0.057	6	13	6	8	3	8	421	0	0
0.057	7	9	6	8	2	2	133	0	0
0.057	8	20	6	8	1	0	81	0	0
0.057	9	21	6	8	2	0	81	0	0
0.057	10	1	6	8	1	8	421	0	0
0.057	11	2	6	8	1	16	903	0	0
0.057	12	3	6	8	1	8	421	0	0
0.057	13	4	6	8	1	2	133	0	0
0.058	1	22	6	9	1	10	469	0	0
0.058	2	15	6	9	1	12	597	0	0
0.058	3	17	6	9	1	18	967	0	0
0.058	4	19	6	9	1	14	775	0	0
0.058	6	7	6	9	1	8	421	0	0
0.058	7	11	6	9	1	8	421	0	0
0.058	8	20	6	9	1	0	81	0	0
0.058	9	6	6	9	1	2	133	0	0
0.058	10	1	6	9	1	8	421	0	0
0.058	11	2	6	9	1	16	903	0	0
0.058	12	3	6	9	1	8	421	0	0
0.058	13	4	6	9	1	2	133	0	0
0.059	1	18	6	10	2	12	597	0	0
0.059	2	14	6	10	2	4	217	0	0
0.059	3	17	6	10	1	18	967	0	0
0.059	4	5	6	10	2	16	903	0	0
0.059	6	23	6	10	2	18	967	0	0
0.059	7	10	6	10	3	8	421	0	0
0.059	8	20	6	10	1	0	81	0	0
0.059	9	6	6	10	1	2	133	0	0
0.059	10	1	6	10	1	8	421	0	0
0.059	11	2	6	10	1	16	903	0	0
0.059	12	3	6	10	1	8	421	0	0
0.059	13	4	6	10	1	2	133	0	0
0.06	1	22	7	1	1	10	469	0	0
0.06	2	15	7	1	1	12	597	0	0
0.06	3	17	7	1	1	18	967	0	0
0.06	4	19	7	1	1	14	775	0	0
0.06	6	13	7	1	3	8	421	0	0
0.06	7	9	7	1	2	2	133	0	0
0.06	8	20	7	1	1	0	81	0	0
0.06	9	21	7	1	2	0	81	0	0
0.06	10	1	7	1	1	8	421	0	0
0.06	11	2	7	1	1	16	903	0	0
0.06	12	3	7	1	1	8	421	0	0
0.06	13	4	7	1	1	2	133	0	0
0.061	1	18	7	2	2	12	597	0	0
0.061	2	14	7	2	2	4	217	0	0
0.061	3	17	7	2	1	18	967	0	0
0.061	4	5	7	2	2	16	903	0	0
0.061	6	7	7	2	1	8	421	0	0
0.061	7	11	7	2	1	8	421	0	0
0.061	8	20	7	2	1	0	81	0	0
0.061	9	6	7	2	1	2	133	0	0
0.061	10	1	7	2	1	8	421	0	0
0.061	11	2	7	2	1	16	903	0	0
0.061	12	3	7	2	1	8	421	0	0
0.061	13	4	7	2	1	2	133	0	0
0.062	1	22	7	3	1	10	469	0	0
0.062	2	15	7	3	1	12	597	0	0
0.062	3	17	7	3	1	18	967	0	0
0.062	4	19	7	3	1	14	775	0	0
0.062	6	23	7	3	2	18	967	0	0
0.062	7	10	7	3	3	8	421	0	0
0.062	8	20	7	3	1	0	81	0	0
0.062	9	21	7	3	2	0	81	0	0
0.062	10	1	7	3	1	8	421	0	0
0.062	11	2	7	3	1	16	903	0	0
0.062	12	3	7	3	1	8	421	0	0
0.062	13	4	7	3	1	2	133	0	0
0.063	1	18	7	4	2	12	597	0	0
0.063	2	15	7	4	1	12	597	0	0
0.063	3	17	7	4	1	18	967	0	0
0.063	4	5	7	4	2	16	903	0	0
0.063	6	13	7	4	3	8	421	0	0
0.063	7	9	7	4	2	2	133	0	0
0.063	8	20	7	4	1	0	81	0	0
0.063	9	6	7	4	1	2	133	0	0
0.063	10	1	7	4	1	8	421	0	0
0.063	11	2	7	4	1	16	903	0	0
0.063	12	3	7	4	1	8	421	0	0
0.063	13	4	7	4	1	2	133	0	0
0.064	1	22	7	5	1	10	469	0	0
0.064	2	14	7	5	2	4	217	0	0
0.064	3	17	7	5	1	18	967	0	0
0.064	4	19	7	5	1	14	775	0	0
0.064	6	7	7	5	1	8	421	0	0
0.064	7	11	7	5	1	8	421	0	0
0.064	8	20	7	5	1	0	81	0	0
0.064	9	21	7	5	2	0	81	0	0
0.064	10	1	7	5	1	8	421	0	0
0.064	11	2	7	5	1	16	903	0	0
0.064	12	3	7	5	1	8	421	0	0
0.064	13	4	7	5	1	2	133	0	0
0.065	1	18	7	6	2	12	597	0	0
0.065	2	15	7	6	1	12	597	0	0
0.065	3	17	7	6	1	18	967	0	0
0.065	4	5	7	6	2	16	903	0	0
0.065	6	23	7	6	2	18	967	0	0
0.065	7	10	7	6	3	8	421	0	0
0.065	8	20	7	6	1	0	81	0	0
0.065	9	6	7	6	1	2	133	0	0
0.065	10	1	7	6	1	8	421	0	0
0.065	11	2	7	6	1	16	903	0	0
0.065	12	3	7	6	1	8	421	0	0
0.065	13	4	7	6	1	2	133	0	0
0.066	1	22	7	7	1	10	469	0	0
0.066	2	14	7	7	2	4	217	0	0
0.066	3	17	7	7	1	18	967	0	0
0.066	4	5	7	7	2	16	903	0	0
0.066	6	13	7	7	3	8	421	0	0
0.066	7	9	7	7	2	2	133	0	0
0.066	8	20	7	7	1	0	81	0	0
0.066	9	6	7	7	1	2	133	0	0
0.066	10	1	7	7	1	8	421	0	0
0.066	11	2	7	7	1	16	903	0	0
0.066	12	3	7	7	1	8	421	0	0
0.066	13	4	7	7	1	2	133	0	0
0.067	1	18	7	8	2	12	597	0	0
0.067	2	15	7	8	1	12	597	0	0
0.067	3	17	7	8	1	18	967	0	0
0.067	4	19	7	8	1	14	775	0	0
0.067	6	23	7	8	2	18	967	0	0
0.067	7	11	7	8	1	8	421	0	0
0.067	8	20	7	8	1	0	81	0	0
0.067	9	21	7	8	2	0	81	0	0
0.067	10	1	7	8	1	8	421	0	0
0.067	11	2	7	8	1	16	903	0	0
0.067	12	3	7	8	1	8	421	0	0
0.067	13	4	7	8	1	2	133	0	0
0.068	1	22	7	9	1	10	469	0	0
0.068	2	14	7	9	2	4	217	0	0
0.068	3	17	7	9	1	18	967	0	0
0.068	4	5	7	9	2	16	903	0	0
0.068	6	7	7	9	1	8	421	0	0
0.068	7	10	7	9	3	8	421	0	0
0.068	8	20	7	9	1	0	81	0	0
0.068	9	6	7	9	1	2	133	0	0
0.068	10	1	7	9	1	8	421	0	0
0.068	11	2	7	9	1	16	903	0	0
0.068	12	3	7	9	1	8	421	0	0
0.068	13	4	7	9	1	2	133	0	0
0.069	1	18	7	10	2	12	597	0	0
0.069	2	15	7	10	1	12	597	0	0
0.069	3	16	7	10	2	2	133	0	0
0.069	4	19	7	10	1	14	775	0	0
0.069	6	13	7	10	3	8	421	0	0
0.069	7	9	7	10	2	2	133	0	0
0.069	8	20	7	10	1	0	81	0	0
0.069	9	21	7	10	2	0	81	0	0
0.069	10	1	7	10	1	8	421	0	0
0.069	11	2	7	10	1	16	903	0	0
0.069	12	3	7	10	1	8	421	0	0
0.069	13	4	7	10	1	2	133	0	0
0.07	1	22	8	1	1	10	469	0	0
0.07	2	14	8	1	2	4	217	0	0
0.07	3	17	8	1	1	18	967	0	0
