% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.054	2	14	6	5	2	8	209
0.054	3	17	6	5	1	14	389
0.054	3	16	6	5	2	6	153
0.054	6	7	6	5	1	8	137
0.054	6	23	6	5	2	2	41
0.054	6	13	6	5	3	4	69
0.054	7	11	6	5	1	6	101
0.054	7	9	6	5	2	16	309
0.054	7	10	6	5	3	12	201
0.054	8	20	6	5	1	10	501
0.054	9	6	6	5	1	2	41
0.054	10	1	6	5	1	18	999
0.054	11	2	6	5	1	12	621
0.054	12	3	6	5	1	28	2292
0.054	13	4	6	5	1	28	2292
0.055	1	22	6	6	1	4	105
0.055	1	18	6	6	2	2	65
0.055	2	15	6	6	1	4	105
0.055	2	14	6	6	2	8	209
0.055	3	17	6	6	1	14	389
0.055	3	16	6	6	2	6	153
0.055	6	7	6	6	1	8	137
0.055	6	23	6	6	2	2	41
0.055	6	13	6	6	3	4	69
0.055	7	11	6	6	1	6	101
0.055	7	9	6	6	2	16	309
0.055	7	10	6	6	3	12	201
0.055	8	20	6	6	1	10	501
0.055	9	6	6	6	1	2	41
0.055	10	1	6	6	1	18	999
0.055	11	2	6	6	1	12	621
0.055	12	3	6	6	1	28	2292
0.055	13	4	6	6	1	28	2292
0.056	1	22	6	7	1	4	105
0.056	1	18	6	7	2	2	65
0.056	2	15	6	7	1	4	105
0.056	2	14	6	7	2	8	209
0.056	3	17	6	7	1	14	389
0.056	3	16	6	7	2	6	153
0.056	6	7	6	7	1	8	137
0.056	6	23	6	7	2	2	41
0.056	6	13	6	7	3	4	69
0.056	7	11	6	7	1	6	101
0.056	7	9	6	7	2	16	309
0.056	7	10	6	7	3	12	201
0.056	8	20	6	7	1	10	501
0.056	9	6	6	7	1	2	41
0.056	10	1	6	7	1	18	999
0.056	11	2	6	7	1	12	621
0.056	12	3	6	7	1	28	2292
0.056	13	4	6	7	1	28	2292
0.057	1	22	6	8	1	4	105
0.057	1	18	6	8	2	2	65
0.057	2	15	6	8	1	4	105
0.057	2	14	6	8	2	8	209
0.057	3	17	6	8	1	14	389
0.057	3	16	6	8	2	6	153
0.057	6	7	6	8	1	8	137
0.057	6	23	6	8	2	2	41
0.057	6	13	6	8	3	4	69
0.057	7	11	6	8	1	6	101
0.057	7	9	6	8	2	16	309
0.057	7	10	6	8	3	12	201
0.057	8	20	6	8	1	10	501
0.057	9	6	6	8	1	2	41
0.057	10	1	6	8	1	18	999
0.057	11	2	6	8	1	12	621
0.057	12	3	6	8	1	28	2292
0.057	13	4	6	8	1	28	2292
0.058	1	22	6	9	1	4	105
0.058	1	18	6	9	2	2	65
0.058	2	15	6	9	1	4	105
0.058	2	14	6	9	2	8	209
0.058	3	17	6	9	1	14	389
0.058	3	16	6	9	2	6	153
0.058	6	7	6	9	1	8	137
0.058	6	23	6	9	2	2	41
0.058	6	13	6	9	3	4	69
0.058	7	11	6	9	1	6	101
0.058	7	9	6	9	2	16	309
0.058	7	10	6	9	3	12	201
0.058	8	20	6	9	1	10	501
0.058	9	6	6	9	1	2	41
0.058	10	1	6	9	1	18	999
0.058	11	2	6	9	1	12	621
0.058	12	3	6	9	1	28	2292
0.058	13	4	6	9	1	28	2292
0.059	1	22	6	10	1	4	105
0.059	1	18	6	10	2	2	65
0.059	2	15	6	10	1	4	105
0.059	2	14	6	10	2	8	209
0.059	3	17	6	10	1	14	389
0.059	3	16	6	10	2	6	153
0.059	6	7	6	10	1	8	137
0.059	6	23	6	10	2	2	41
0.059	6	13	6	10	3	4	69
0.059	7	11	6	10	1	6	101
0.059	7	9	6	10	2	16	309
0.059	7	10	6	10	3	12	201
0.059	8	20	6	10	1	10	501
0.059	9	6	6	10	1	2	41
0.059	10	1	6	10	1	18	999
0.059	11	2	6	10	1	12	621
0.059	12	3	6	10	1	28	2292
0.059	13	4	6	10	1	28	2292
0.06	1	22	7	1	1	4	105
0.06	1	18	7	1	2	2	65
0.06	2	15	7	1	1	4	105
0.06	2	14	7	1	2	8	209
0.06	3	17	7	1	1	14	389
0.06	3	16	7	1	2	6	153
0.06	6	7	7	1	1	8	137
0.06	6	23	7	1	2	2	41
0.06	6	13	7	1	3	4	69
0.06	7	11	7	1	1	6	101
0.06	7	9	7	1	2	16	309
0.06	7	10	7	1	3	12	201
0.06	8	20	7	1	1	10	501
0.06	9	6	7	1	1	2	41
0.06	10	1	7	1	1	18	999
0.06	11	2	7	1	1	12	621
0.06	12	3	7	1	1	28	2292
0.06	13	4	7	1	1	28	2292
0.061	1	22	7	2	1	4	105
0.061	1	18	7	2	2	2	65
0.061	2	15	7	2	1	4	105
0.061	2	14	7	2	2	8	209
0.061	3	17	7	2	1	14	389
0.061	3	16	7	2	2	6	153
0.061	6	7	7	2	1	8	137
0.061	6	23	7	2	2	2	41
0.061	6	13	7	2	3	4	69
0.061	7	11	7	2	1	6	101
0.061	7	9	7	2	2	16	309
0.061	7	10	7	2	3	12	201
0.061	8	20	7	2	1	10	501
0.061	9	6	7	2	1	2	41
0.061	10	1	7	2	1	18	999
0.061	11	2	7	2	1	12	621
0.061	12	3	7	2	1	28	2292
0.061	13	4	7	2	1	28	2292
0.062	1	22	7	3	1	4	105
0.062	1	18	7	3	2	2	65
0.062	2	15	7	3	1	4	105
0.062	2	14	7	3	2	8	209
0.062	3	17	7	3	1	14	389
0.062	3	16	7	3	2	6	153
0.062	6	7	7	3	1	8	137
0.062	6	23	7	3	2	2	41
0.062	6	13	7	3	3	4	69
0.062	7	11	7	3	1	6	101
0.062	7	9	7	3	2	16	309
0.062	7	10	7	3	3	12	201
0.062	8	20	7	3	1	10	501
0.062	9	6	7	3	1	2	41
0.062	10	1	7	3	1	18	999
0.062	11	2	7	3	1	12	621
0.062	12	3	7	3	1	28	2292
0.062	13	4	7	3	1	28	2292
0.063	1	22	7	4	1	4	105
0.063	1	18	7	4	2	2	65
0.063	2	15	7	4	1	4	105
0.063	2	14	7	4	2	8	209
0.063	3	17	7	4	1	14	389
0.063	3	16	7	4	2	6	153
0.063	6	7	7	4	1	8	137
0.063	6	23	7	4	2	2	41
0.063	6	13	7	4	3	4	69
0.063	7	11	7	4	1	6	101
0.063	7	9	7	4	2	16	309
0.063	7	10	7	4	3	12	201
0.063	8	20	7	4	1	10	501
0.063	9	6	7	4	1	2	41
0.063	10	1	7	4	1	18	999
0.063	11	2	7	4	1	12	621
0.063	12	3	7	4	1	28	2292
0.063	13	4	7	4	1	28	2292
0.064	1	22	7	5	1	4	105
0.064	1	18	7	5	2	2	65
0.064	2	15	7	5	1	4	105
0.064	2	14	7	5	2	8	209
0.064	3	17	7	5	1	14	389
0.064	3	16	7	5	2	6	153
0.064	6	7	7	5	1	8	137
0.064	6	23	7	5	2	2	41
0.064	6	13	7	5	3	4	69
0.064	7	11	7	5	1	6	101
0.064	7	9	7	5	2	16	309
0.064	7	10	7	5	3	12	201
0.064	8	20	7	5	1	10	501
0.064	9	6	7	5	1	2	41
0.064	10	1	7	5	1	18	999
0.064	11	2	7	5	1	12	621
0.064	12	3	7	5	1	28	2292
0.064	13	4	7	5	1	28	2292
0.065	1	22	7	6	1	4	105
0.065	1	18	7	6	2	2	65
0.065	2	15	7	6	1	4	105
0.065	2	14	7	6	2	8	209
0.065	3	17	7	6	1	14	389
0.065	3	16	7	6	2	6	153
0.065	6	7	7	6	1	8	137
0.065	6	23	7	6	2	2	41
0.065	6	13	7	6	3	4	69
0.065	7	11	7	6	1	6	101
0.065	7	9	7	6	2	16	309
0.065	7	10	7	6	3	12	201
0.065	8	20	7	6	1	10	501
0.065	9	6	7	6	1	2	41
0.065	10	1	7	6	1	18	999
0.065	11	2	7	6	1	12	621
0.065	12	3	7	6	1	28	2292
0.065	13	4	7	6	1	28	2292
0.066	1	22	7	7	1	4	105
